timestamp,symbol,side,amount,price,exchange
1749217253.007953,BTC/USD,SELL,6,20291,FTX
1749217253.007953,BTC/USD,BUY,6,20301,Bybit
1749217253.007953,BTC/USD,SELL,1,20298,FTX
1749217253.007953,BTC/USD,BUY,7,20307,FTX
1749217253.007953,BTC/USD,SELL,1,20314,Binance
1749217253.007953,BTC/USD,BUY,2,20319,Binance
1749217253.007953,BTC/USD,BUY,1,20324,Bybit
1749217253.007953,BTC/USD,BUY,2,20330,FTX
1749217253.007953,BTC/USD,SELL,9,20320,Binance
1749217253.007953,BTC/USD,BUY,9,20322,FTX
1749217253.007953,BTC/USD,SELL,1,20319,FTX
1749217253.007953,BTC/USD,SELL,1,20319,Bybit
1749217253.007953,BTC/USD,BUY,8,20312,Binance
1749217253.007953,BTC/USD,SELL,1,20305,Bybit
1749217253.007953,BTC/USD,BUY,7,20306,dYdX
1749217253.007953,BTC/USD,SELL,9,20298,dYdX
1749217253.007953,BTC/USD,SELL,6,20298,FTX
1749217253.007953,BTC/USD,BUY,6,20294,Bybit
1749217253.007953,BTC/USD,BUY,7,20293,FTX
1749217253.007953,BTC/USD,BUY,1,20298,dYdX
1749217253.007953,BTC/USD,SELL,7,20306,FTX
1749217253.007953,BTC/USD,BUY,0,20316,Bybit
1749217253.007953,BTC/USD,SELL,9,20316,FTX
1749217253.007953,BTC/USD,BUY,2,20309,Binance
1749217253.007953,BTC/USD,SELL,7,20315,Bybit
1749217253.007953,BTC/USD,BUY,9,20313,dYdX
1749217253.007953,BTC/USD,BUY,0,20316,Bybit
1749217253.007953,BTC/USD,SELL,8,20318,dYdX
1749217253.007953,BTC/USD,SELL,2,20314,dYdX
1749217253.007953,BTC/USD,SELL,1,20324,FTX
1749217253.007953,BTC/USD,SELL,2,20316,dYdX
1749217253.007953,BTC/USD,SELL,1,20326,dYdX
1749217253.007953,BTC/USD,BUY,2,20330,FTX
1749217253.007953,BTC/USD,BUY,0,20338,FTX
1749217253.007953,BTC/USD,BUY,3,20341,Binance
1749217253.007953,BTC/USD,BUY,2,20331,FTX
1749217253.007953,BTC/USD,SELL,5,20328,Binance
1749217253.007953,BTC/USD,BUY,9,20331,dYdX
1749217253.007953,BTC/USD,BUY,2,20341,Binance
1749217253.007953,BTC/USD,BUY,8,20335,FTX
1749217253.007953,BTC/USD,SELL,1,20345,FTX
1749217253.007953,BTC/USD,SELL,3,20342,Binance
1749217253.007953,BTC/USD,SELL,7,20339,Binance
1749217253.007953,BTC/USD,BUY,8,20332,Binance
1749217253.007953,BTC/USD,BUY,5,20342,FTX
1749217253.007953,BTC/USD,BUY,0,20351,Binance
1749217253.007953,BTC/USD,SELL,4,20351,Binance
1749217253.007953,BTC/USD,SELL,1,20356,Bybit
1749217253.007953,BTC/USD,SELL,6,20356,FTX
1749217253.007953,BTC/USD,SELL,3,20356,Bybit
1749217253.007953,BTC/USD,SELL,3,20354,FTX
1749217253.007953,BTC/USD,BUY,2,20361,Binance
1749217253.007953,BTC/USD,SELL,7,20355,Binance
1749217253.007953,BTC/USD,SELL,3,20355,FTX
1749217253.007953,BTC/USD,SELL,9,20353,dYdX
1749217253.007953,BTC/USD,BUY,0,20358,Binance
